Time_Index,MA_Diesel,MA_Biodiesel,MA_Methanol,MA_Hydrogen,MA_Ammonia,MA_Primary_Al_Air,MA_Electricity,None
174,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
175,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
176,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
177,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
178,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
179,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
180,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
181,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
182,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
183,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
184,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
185,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
186,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
187,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
188,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
189,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
190,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
191,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
192,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
193,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
194,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
195,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
196,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
197,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
198,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
199,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
200,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
201,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
