fips_code,county,state,customers_out,run_start_time,Weekend,Season,hour,month,season,outage_id,duration_intervals,duration_minutes,duration_category,customer_outage_minutes,cluster,15min_interval
25025,Suffolk,Massachusetts,1.0,2020-02-09 15:15:00,1,3,15,2,Winter,141,3,45,0-60min,45.0,0,"[45, 60)"
25025,Suffolk,Massachusetts,1.0,2020-02-09 16:45:00,1,3,16,2,Winter,142,7,105,61-180min,105.0,0,"[105, 120)"
25025,Suffolk,Massachusetts,1.0,2020-02-09 19:00:00,1,3,19,2,Winter,143,10,150,61-180min,150.0,0,"[150, 165)"
25025,Suffolk,Massachusetts,1.0,2020-02-10 03:00:00,0,3,3,2,Winter,144,2,30,0-60min,30.0,0,"[30, 45)"
25025,Suffolk,Massachusetts,1.0,2020-02-10 12:45:00,0,3,12,2,Winter,145,55,825,361-1440min,825.0,1,"[825, 840)"
25025,Suffolk,Massachusetts,11.0,2020-02-11 04:00:00,0,3,4,2,Winter,146,1,15,0-60min,165.0,0,"[15, 30)"
25025,Suffolk,Massachusetts,1.0,2020-02-11 16:45:00,0,3,16,2,Winter,147,2,30,0-60min,30.0,0,"[30, 45)"
25025,Suffolk,Massachusetts,746.0,2020-02-11 19:15:00,0,3,19,2,Winter,148,1,15,0-60min,11190.0,0,"[15, 30)"
25025,Suffolk,Massachusetts,1.0,2020-02-11 21:00:00,0,3,21,2,Winter,149,4,60,0-60min,60.0,0,"[60, 75)"
25025,Suffolk,Massachusetts,1.0,2020-02-11 22:30:00,0,3,22,2,Winter,150,2,30,0-60min,30.0,0,"[30, 45)"
25025,Suffolk,Massachusetts,1.0,2020-02-11 23:30:00,0,3,23,2,Winter,151,12,180,61-180min,180.0,0,"[180, 195)"
25025,Suffolk,Massachusetts,1.0,2020-02-12 05:15:00,0,3,5,2,Winter,152,2,30,0-60min,30.0,0,"[30, 45)"
25025,Suffolk,Massachusetts,48.0,2020-02-12 07:00:00,0,3,7,2,Winter,153,12,180,61-180min,8640.0,0,"[180, 195)"
25025,Suffolk,Massachusetts,1.0,2020-02-12 10:15:00,0,3,10,2,Winter,154,1,15,0-60min,15.0,0,"[15, 30)"
25025,Suffolk,Massachusetts,1.0,2020-02-12 11:30:00,0,3,11,2,Winter,155,1,15,0-60min,15.0,0,"[15, 30)"
25025,Suffolk,Massachusetts,1.0,2020-02-12 13:45:00,0,3,13,2,Winter,156,9,135,61-180min,135.0,0,"[135, 150)"
25025,Suffolk,Massachusetts,1.0,2020-02-12 20:00:00,0,3,20,2,Winter,157,20,300,181-360min,300.0,0,"[300, 315)"
25025,Suffolk,Massachusetts,1.0,2020-02-13 01:15:00,0,3,1,2,Winter,158,2,30,0-60min,30.0,0,"[30, 45)"
25025,Suffolk,Massachusetts,1.0,2020-02-13 15:15:00,0,3,15,2,Winter,159,18,270,181-360min,270.0,0,"[270, 285)"
25025,Suffolk,Massachusetts,1.0,2020-02-13 20:45:00,0,3,20,2,Winter,160,9,135,61-180min,135.0,0,"[135, 150)"
25025,Suffolk,Massachusetts,1.0,2020-02-14 02:00:00,0,3,2,2,Winter,161,1,15,0-60min,15.0,0,"[15, 30)"
25025,Suffolk,Massachusetts,1.0,2020-02-14 08:30:00,0,3,8,2,Winter,162,17,255,181-360min,255.0,0,"[255, 270)"
25025,Suffolk,Massachusetts,21.0,2020-02-14 14:15:00,0,3,14,2,Winter,163,6,90,61-180min,1890.0,0,"[90, 105)"
25025,Suffolk,Massachusetts,2.0,2020-02-14 18:30:00,0,3,18,2,Winter,164,43,645,361-1440min,1290.0,1,"[645, 660)"
25025,Suffolk,Massachusetts,1.0,2020-02-15 06:15:00,1,3,6,2,Winter,165,3,45,0-60min,45.0,0,"[45, 60)"
25025,Suffolk,Massachusetts,1.0,2020-02-15 08:15:00,1,3,8,2,Winter,166,7,105,61-180min,105.0,0,"[105, 120)"
25025,Suffolk,Massachusetts,18.0,2020-02-15 12:30:00,1,3,12,2,Winter,167,2,30,0-60min,540.0,0,"[30, 45)"
25025,Suffolk,Massachusetts,1.0,2020-02-15 15:00:00,1,3,15,2,Winter,168,12,180,61-180min,180.0,0,"[180, 195)"
25025,Suffolk,Massachusetts,1.0,2020-02-15 18:30:00,1,3,18,2,Winter,169,8,120,61-180min,120.0,0,"[120, 135)"
25025,Suffolk,Massachusetts,1.0,2020-02-15 23:00:00,1,3,23,2,Winter,170,2,30,0-60min,30.0,0,"[30, 45)"
25025,Suffolk,Massachusetts,103.0,2020-02-16 01:30:00,1,3,1,2,Winter,171,31,465,361-1440min,47895.0,1,"[465, 480)"
25025,Suffolk,Massachusetts,1.0,2020-02-16 12:45:00,1,3,12,2,Winter,172,8,120,61-180min,120.0,0,"[120, 135)"
25025,Suffolk,Massachusetts,1.0,2020-02-16 17:00:00,1,3,17,2,Winter,173,4,60,0-60min,60.0,0,"[60, 75)"
25025,Suffolk,Massachusetts,1.0,2020-02-16 22:15:00,1,3,22,2,Winter,174,22,330,181-360min,330.0,1,"[330, 345)"
25025,Suffolk,Massachusetts,56.0,2020-02-17 05:30:00,0,3,5,2,Winter,175,1,15,0-60min,840.0,0,"[15, 30)"
25025,Suffolk,Massachusetts,101.0,2020-02-17 06:45:00,0,3,6,2,Winter,176,26,390,361-1440min,39390.0,1,"[390, 405)"
25025,Suffolk,Massachusetts,1.0,2020-02-17 20:30:00,0,3,20,2,Winter,177,9,135,61-180min,135.0,0,"[135, 150)"
25025,Suffolk,Massachusetts,1.0,2020-02-18 03:30:00,0,3,3,2,Winter,178,1,15,0-60min,15.0,0,"[15, 30)"
25025,Suffolk,Massachusetts,51.0,2020-02-18 04:15:00,0,3,4,2,Winter,179,5,75,61-180min,3825.0,0,"[75, 90)"
25025,Suffolk,Massachusetts,1.0,2020-02-18 06:45:00,0,3,6,2,Winter,180,11,165,61-180min,165.0,0,"[165, 180)"
